episode,reward,success,survivalSteps,endReason
252,117.100,0,121,death
253,105.600,0,111,death
254,-41.300,0,46,death
255,215.400,0,170,death
256,154.500,0,177,death
257,969.000,1,341,goal
258,-32.300,0,45,death
259,172.700,0,138,death
260,139.000,0,196,death
261,262.100,0,202,death
262,184.000,0,173,death
263,43.300,0,96,death
264,59.600,0,92,death
265,129.400,0,162,death
266,-48.300,0,44,death
267,278.200,0,293,death
268,37.400,0,104,death
269,234.100,0,177,death
270,183.300,0,220,death
271,7.700,0,90,death
272,96.200,0,116,death
273,197.200,0,150,death
274,319.400,0,657,stagnation
275,134.300,0,124,death
276,335.100,0,249,death
277,183.800,0,172,death
278,-41.000,0,49,death
279,118.400,0,114,death
280,377.100,0,256,death
281,223.000,0,191,death
282,217.600,0,162,death
283,41.500,0,79,death
284,-46.200,0,52,death
285,1014.200,1,338,goal
286,395.900,0,359,death
287,10.800,0,102,death
288,177.100,0,238,death
289,538.300,0,421,death
290,220.000,0,222,death
291,183.400,0,174,death
292,130.300,0,138,death
293,12.500,0,433,death
294,247.600,0,200,death
295,506.500,0,304,death
296,235.500,0,214,death
297,390.100,0,249,death
298,104.500,0,133,death
299,90.700,0,126,death
300,198.500,0,165,death
